time obj_dir/Vfhe_alu_top 
ntt_sequence start
load set start
load root start
load data start
load start
bit_rev start
ntt start
a_out 1236c491410851cd, b_out 2dc93b6ebef1ae35
a_out 0f4313cf94fb3a13, b_out 10bcec306b01c5f1
a_out 0e86279f29f7f425, b_out 1179d860d6050be1
a_out 0dc93b6ebef4ae3a, b_out 1236c491410851d4
a_out 1dc93b6ebef32e33, b_out 2236c4914106d1cd
a_out 1dc93b6ebef32e30, b_out 2236c4914106d1ca
a_out 0ffffffffffe7ffe, b_out 2ffffffffffb8000
a_out 0dc93b6ebef4ae37, b_out 1236c491410851d1
a_out 12f3b0c1ac0b97b9, b_out 2d0c4f3e53ee6843
a_out 0e86279f29f7f425, b_out 1179d860d6050be1
a_out 1e86279f29f67423, b_out 2179d860d6038bdf
a_out 0f4313cf94fb3a15, b_out 10bcec306b01c5f3
a_out 0f4313cf94fb3a13, b_out 10bcec306b01c5f1
a_out 0000000000000001, b_out 1ffffffffffd0003
a_out 1c4f630de8eca24e, b_out 23b09cf2170d5da4
a_out 10bcec306b01c5ef, b_out 2f4313cf94f83a13
a_out 1dc93b6ebef32e34, b_out 2236c4914106d1ce
a_out 0f4313cf94fb3a14, b_out 10bcec306b01c5f2
a_out 0e86279f29f7f426, b_out 1179d860d6050be2
a_out 0c4f630de8ee2258, b_out 13b09cf2170eddae
a_out 146d892282122399, b_out 2b9276dd7de7dc67
a_out 046d89228213a39a, b_out 1b9276dd7de95c68
a_out 02f3b0c1ac0d17c1, b_out 1d0c4f3e53efe84b
a_out 0f4313cf94fb3a18, b_out 10bcec306b01c5f6
a_out 1179d860d6050bdc, b_out 2e86279f29f4f422
a_out 0179d860d6068be1, b_out 1e86279f29f67427
a_out 0ffffffffffe8000, b_out 2ffffffffffb8002
a_out 1d0c4f3e53efe845, b_out 22f3b0c1ac0a17bd
a_out 152a7552ed156988, b_out 2ad58aad12e49678
a_out 0d0c4f3e53f16847, b_out 12f3b0c1ac0b97bf
a_out 1179d860d6050bdb, b_out 2e86279f29f4f421
a_out 1b9276dd7de95c67, b_out 246d89228210a39b
a_out 0ffffffffffe8000, b_out 2ffffffffffb8002
a_out 10bcec306b01c5ee, b_out 2f4313cf94f83a12
a_out 0179d860d6068bde, b_out 1e86279f29f67424
a_out 00bcec306b0345ef, b_out 1f4313cf94f9ba13
a_out 00bcec306b0345f2, b_out 1f4313cf94f9ba16
a_out 10bcec306b01c5ea, b_out 2f4313cf94f83a0e
a_out 12f3b0c1ac0b97bb, b_out 2d0c4f3e53ee6845
a_out 1d0c4f3e53efe845, b_out 22f3b0c1ac0a17bd
